# Title: Install Community Members,,,,,,,,,,,,,
# Description: This option configures the Member profiles and groups for the Reference site,,,,,,,,,,,,,
# The following lines are creating new groups,,,,,,,,,,,,,
boyd.larsen@dodgit.com,0,not used,not used,avatar_boyd.jpg,,,,,,,,,
donna.billups@pookmail.com,0,not used,not used,avatar_donna.jpg,,,,,,,,,
emily.andrews@mailinator.com,0,not used,not used,avatar_emily.jpg,,,,,,,,,
felicia.carter@trashymail.com,0,not used,not used,avatar_felicia.jpg,,,,,,,,,
james.devore@spambob.com,0,not used,not used,avatar_james.jpg,,,,,,,,,
jason.werner@dodgit.com,0,not used,not used,avatar_jason.jpg,,,,,,,,,
josh.bradley@pookmail.com,0,not used,not used,avatar_josh.jpg,,,,,,,,,
rebekah.larsen@trashymail.com,0,not used,not used,avatar_rebekah.jpg,,,,,,,,,
ryan.palmer@spambob.com,0,not used,not used,avatar_ryan.jpg,,,,,,,,,
weston.mccall@dodgit.com,0,not used,not used,avatar_weston.jpg,,,,,,,,,
# The following line is adding the registered users to the Group previously created so that assignments can be group based,,,,,,,,,,,,,
GroupMembers,reference-members,addMembers,aaron.mcdonald@mailinator.com,,,,,,,,,,
GroupMembers,reference-moderators,addMembers,aaron.mcdonald@mailinator.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,andrew.schaeffer@trashymail.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,ashley.thompson@spambob.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,boyd.larsen@dodgit.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,donna.billups@pookmail.com,,,,,,,,,,
GroupMembers,reference-privileged-members,addMembers,emily.andrews@mailinator.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,emily.andrews@mailinator.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,felicia.carter@trashymail.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,james.devore@spambob.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,jason.werner@dodgit.com,,,,,,,,,,
GroupMembers,reference-managers,addMembers,josh.bradley@pookmail.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,josh.bradley@pookmail.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,rebekah.larsen@trashymail.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,ryan.palmer@spambob.com,,,,,,,,,,
GroupMembers,reference-members,addMembers,weston.mccall@dodgit.com,,,,,,,,,,
SiteMembers,/content/sites/communities/en/configuration.json,addMembers,reference-members,,,,,,,,,,
